rank,player_name,team,pos,age_years,tier,trend_30_day,value
1,Josh Allen,BUF,QB1,29.8,Tier 1,1,9999
2,Bijan Robinson,ATL,RB1,24.1,Tier 1,1,9985
3,Ja'Marr Chase,CIN,WR1,26,Tier 2,2,9795
4,Jaxon Smith-Njigba,SEA,WR2,24.1,Tier 2,1,9747
5,Jahmyr Gibbs,DET,RB2,24,Tier 2,2,9684
6,Puka Nacua,LAR,WR3,24.8,Tier 2,0,9396
7,Drake Maye,NEP,QB2,23.5,Tier 2,3,9373
8,Brock Bowers,LVR,TE1,23.2,Tier 3,4,8580
9,Trey McBride,ARI,TE2,26.3,Tier 3,6,8346
10,Malik Nabers,NYG,WR4,22.6,Tier 4,1,7721
11,Caleb Williams,CHI,QB3,24.3,Tier 4,4,7692
12,Lamar Jackson,BAL,QB4,29.2,Tier 4,2,7668
13,Jayden Daniels,WAS,QB5,25.2,Tier 4,2,7666
14,Amon-Ra St. Brown,DET,WR5,26.4,Tier 4,2,7637
15,Justin Jefferson,MIN,WR6,26.8,Tier 4,1,7626
16,Ashton Jeanty,LVR,RB3,22.3,Tier 5,3,7467
17,CeeDee Lamb,DAL,WR7,26.9,Tier 5,1,7456
18,Joe Burrow,CIN,QB6,29.3,Tier 6,0,7312
19,Jeremiyah Love,RFA,RB4,N/A,Tier 6,10,7297
20,Drake London,ATL,WR8,24.6,Tier 7,0,6865
21,De'Von Achane,MIA,RB5,24.4,Tier 7,4,6853
22,Justin Herbert,LAC,QB7,28,Tier 7,1,6840
23,2027 Early 1st,,PICK,,Tier 7,0,6803
24,Patrick Mahomes,KCC,QB8,30.5,Tier 7,0,6736
25,Omarion Hampton,LAC,RB6,23,Tier 7,3,6732
26,Colston Loveland,CHI,TE3,21.9,Tier 7,11,6723
27,Tetairoa McMillan,CAR,WR9,22.9,Tier 7,0,6688
28,Jaxson Dart,NYG,QB9,22.8,Tier 7,2,6581
29,Tyler Warren,IND,TE4,23.8,Tier 8,0,6355
30,Jalen Hurts,PHI,QB10,27.6,Tier 8,1,6296
31,Trevor Lawrence,JAC,QB11,26.4,Tier 8,1,6277
32,George Pickens,DAL,WR10,25,Tier 9,3,6140
33,Emeka Egbuka,TBB,WR11,23.4,Tier 9,6,6116
34,James Cook,BUF,RB7,26.5,Tier 9,1,6042
35,Jonathan Taylor,IND,RB8,27.2,Tier 9,4,6025
36,Bo Nix,DEN,QB12,26,Tier 9,6,6008
37,Brock Purdy,SFO,QB13,26.2,Tier 9,2,5981
38,2026 Early 1st,,PICK,,Tier 9,2,5929
39,Garrett Wilson,NYJ,WR12,25.6,Tier 9,2,5907
40,Nico Collins,HOU,WR13,27,Tier 9,3,5840
41,Kenneth Walker III,KCC,RB9,25.4,Tier 9,29,5778
42,Jordan Love,GBP,QB14,27.4,Tier 9,0,5729
43,Chris Olave,NOS,WR14,25.7,Tier 10,4,5641
44,Fernando Mendoza,RFA,QB15,N/A,Tier 10,2,5631
45,2027 Mid 1st,,PICK,,Tier 10,3,5559
46,Rome Odunze,CHI,WR15,23.8,Tier 10,4,5517
47,TreVeyon Henderson,NEP,RB10,23.4,Tier 10,16,5500
48,Harold Fannin,CLE,TE5,21.6,Tier 10,4,5471
49,Tucker Kraft,GBP,TE6,25.4,Tier 10,7,5454
50,Quinshon Judkins,CLE,RB11,22.4,Tier 10,4,5420
51,Ladd McConkey,LAC,WR16,24.4,Tier 10,0,5396
52,Breece Hall,NYJ,RB12,24.8,Tier 10,4,5368
53,Luther Burden,CHI,WR17,22.2,Tier 10,5,5349
54,Carnell Tate,RFA,WR18,N/A,Tier 11,8,5205
55,Bucky Irving,TBB,RB13,23.6,Tier 11,8,5193
56,Kyle Pitts,ATL,TE7,25.4,Tier 12,1,5078
57,Cam Ward,TEN,QB16,23.8,Tier 12,1,5076
58,Sam LaPorta,DET,TE8,25.2,Tier 12,8,5072
59,Christian McCaffrey,SFO,RB14,29.8,Tier 12,8,5039
60,Makai Lemon,RFA,WR19,N/A,Tier 12,8,5027
61,Marvin Harrison Jr.,ARI,WR20,23.6,Tier 12,6,5016
62,Dak Prescott,DAL,QB17,32.6,Tier 12,4,5009
63,2028 Early 1st,,PICK,,Tier 12,4,4967
64,Brian Thomas Jr.,JAC,WR21,23.4,Tier 12,7,4940
65,Kyren Williams,LAR,RB15,25.6,Tier 12,3,4922
66,Tee Higgins,CIN,WR22,27.2,Tier 12,3,4894
67,Chase Brown,CIN,RB16,26,Tier 12,7,4891
68,DeVonta Smith,PHI,WR23,27.3,Tier 12,8,4890
69,Saquon Barkley,PHI,RB17,29.1,Tier 12,2,4878
70,C.J. Stroud,HOU,QB18,24.4,Tier 12,16,4865
71,A.J. Brown,PHI,WR24,28.7,Tier 12,1,4852
72,Baker Mayfield,TBB,QB19,30.9,Tier 12,4,4842
73,Rashee Rice,KCC,WR25,25.9,Tier 12,33,4811
74,Sam Darnold,SEA,QB20,28.8,Tier 12,11,4795
75,2027 Late 1st,,PICK,,Tier 12,1,4784
76,Jordyn Tyson,RFA,WR26,N/A,Tier 12,19,4776
77,Kenyon Sadiq,RFA,TE9,N/A,Tier 12,1,4775
78,Jameson Williams,DET,WR27,25,Tier 12,8,4767
79,2026 Mid 1st,,PICK,,Tier 12,8,4751
80,Zay Flowers,BAL,WR28,25.5,Tier 12,3,4707
81,Travis Etienne,NOS,RB18,27.1,Tier 12,5,4687
82,Tyler Shough,NOS,QB21,26.5,Tier 12,3,4640
83,Jared Goff,DET,QB22,31.4,Tier 12,5,4611
84,Javonte Williams,DAL,RB19,25.9,Tier 12,5,4610
85,Jaylen Waddle,MIA,WR29,27.3,Tier 12,6,4598
86,Josh Jacobs,GBP,RB20,28.1,Tier 12,4,4545
87,Cam Skattebo,NYG,RB21,24.1,Tier 13,24,4470
88,Malik Willis,MIA,QB23,26.8,Tier 13,56,4463
89,Alec Pierce,IND,WR30,25.9,Tier 13,10,4457
90,2028 Mid 1st,,PICK,,Tier 13,8,4441
91,Oronde Gadsden,LAC,TE10,22.7,Tier 13,12,4417
92,Bryce Young,CAR,QB24,24.6,Tier 13,10,4369
93,Daniel Jones,IND,QB25,28.8,Tier 14,1,4170
94,Kyler Murray,MIN,QB26,28.6,Tier 14,18,4123
95,Bhayshul Tuten,JAC,RB22,23.1,Tier 14,27,4078
96,2026 Late 1st,,PICK,,Tier 14,11,4077
97,Isaiah Likely,NYG,TE11,25.9,Tier 14,30,4012
98,D.J. Moore,BUF,WR31,28.9,Tier 14,30,3971
99,2028 Late 1st,,PICK,,Tier 14,9,3957
100,Jordan Addison,MIN,WR32,24.1,Tier 14,9,3944
101,RJ Harvey,DEN,RB23,25.1,Tier 15,29,3867
102,Jake Ferguson,DAL,TE12,27.2,Tier 16,8,3805
103,Michael Wilson,ARI,WR33,26,Tier 16,7,3798
104,Dalton Kincaid,BUF,TE13,26.4,Tier 16,14,3793
105,Derrick Henry,BAL,RB24,32.2,Tier 16,10,3785
106,2027 Early 2nd,,PICK,,Tier 16,7,3764
107,Zach Charbonnet,SEA,RB25,25.2,Tier 16,3,3753
108,Wan'Dale Robinson,TEN,WR34,25.2,Tier 16,2,3751
109,DK Metcalf,PIT,WR35,28.2,Tier 16,9,3727
110,George Kittle,SFO,TE14,32.4,Tier 16,30,3727
111,Romeo Doubs,NEP,WR36,25.9,Tier 16,33,3724
112,Christian Watson,GBP,WR37,26.8,Tier 16,9,3707
113,KC Concepcion,RFA,WR38,N/A,Tier 16,15,3703
114,Ricky Pearsall,SFO,WR39,25.5,Tier 16,15,3673
115,Travis Hunter,JAC,WR40,22.8,Tier 16,33,3670
116,Matthew Stafford,LAR,QB27,38.1,Tier 16,10,3638
117,Parker Washington,JAC,WR41,24,Tier 16,1,3620
118,Michael Pittman,PIT,WR42,28.4,Tier 16,7,3614
119,Matthew Golden,GBP,WR43,22.6,Tier 16,6,3609
120,Kyle Monangai,CHI,RB26,23.8,Tier 16,26,3596
121,Tyler Allgeier,ARI,RB27,25.9,Tier 16,18,3588
122,Brenton Strange,JAC,TE15,25.2,Tier 16,17,3577
123,Jayden Higgins,HOU,WR44,23.2,Tier 16,26,3540
124,Davante Adams,LAR,WR45,33.2,Tier 16,15,3537
